,N_to_C.logFC,N_to_C.AveExpr,N_to_C.t,N_to_C.P.Value,N_to_C.adj.P.Val,N_to_C.B,N_to_C.N_AVG,N_to_C.C_AVG,N_to_C.deltaBeta,N_to_C.CHR,N_to_C.MAPINFO,N_to_C.Strand,N_to_C.Type,N_to_C.gene,N_to_C.feature,N_to_C.cgi,N_to_C.feat.cgi,N_to_C.UCSC_Islands_Name,N_to_C.SNP_ID,N_to_C.SNP_DISTANCE
cg20303561,-0.30103528831967,0.306345662428631,-6.59172072935521,2.5573027481913e-07,0.01009785043429,6.82961763225195,0.16068342614492,0.46171871446459,0.30103528831967,14,91881497,F,II,CCDC88C,Body,shore,Body-shore,chr14:91883361-91883566,rs535182643;rs17127363,1;43
cg11860192,-0.219735306159816,0.306571348601824,-6.55588172465317,2.82404983356415e-07,0.01009785043429,6.73183669043209,0.200247813363204,0.41998311952302,0.219735306159817,17,48555853,R,II,RSAD1,TSS1500,shore,TSS1500-shore,chr17:48556004-48556509,rs3760405;rs548776171,38;1
cg06218688,-0.178738833490459,0.215309518002954,-6.53841315885531,2.9641041599095e-07,0.01009785043429,6.68413708757367,0.128822985668861,0.30756181915932,0.178738833490459,11,19799429,F,II,NAV2,Body,shore,Body-shore,chr11:19798537-19798949,rs535978213;rs77141445;rs552604990;rs183007417,14;30;39;51
cg20844262,-0.306035461627236,0.431608269280447,-6.53664445081857,2.97867091701196e-07,0.01009785043429,6.6793060343068,0.283526594299526,0.589562055926762,0.306035461627236,20,62367372,R,II,ZGPAT,3'UTR,shore,3'UTR-shore,chr20:62368955-62371962,rs191837645;rs141341763;rs6011070;rs182765586,38;17;11;2
cg24771898,-0.289042436729762,0.407914030395537,-6.50917854605532,3.21439875542727e-07,0.0104016628744317,6.6042522747376,0.268054786816619,0.557097223546382,0.289042436729762,10,98378897,F,II,PIK3AP1,Body,opensea,Body-opensea,,,
cg01561157,-0.183067462526379,0.618096440040672,-6.46733773325607,3.61030395799459e-07,0.0106510445968316,6.4897988367345,0.529515409785972,0.712582872312352,0.18306746252638,17,80735550,R,II,TBCD,Body,shore,Body-shore,chr17:80737542-80737774,rs183257892,1
cg01436424,0.150934058150298,0.666056847067957,6.46724605453088,3.61122351013672e-07,0.0106510445968316,6.48954789930415,0.739089455850359,0.588155397700061,-0.150934058150298,1,7669070,F,I,CAMTA1,Body,opensea,Body-opensea,,rs533472533,44
cg06441516,-0.24990573503165,0.355273859024701,-6.45460589732353,3.74030061230673e-07,0.0106510445968316,6.45494362281322,0.234351729170677,0.484257464202327,0.24990573503165,8,26184741,F,II,PPP2R2A,Body,opensea,Body-opensea,,,
cg02823530,-0.253663520666574,0.372006281228723,-6.40798399982106,4.25807489245203e-07,0.0115413473935282,6.32720083610906,0.249265868002961,0.502929388669535,0.253663520666574,15,90643865,F,II,IDH2,TSS200,shore,TSS200-shore,chr15:90644998-90646164,rs533387183;rs147452749,22;30
cg10045024,-0.223262207100026,0.204747897881396,-6.39807196518445,4.37718169301024e-07,0.0115413473935282,6.30002045637241,0.0967177976717053,0.319980004771732,0.223262207100026,11,58329048,R,II,LPXN,Body,opensea,Body-opensea,,rs543955894,2
cg19786648,0.0837497779487832,0.86607830457042,6.30565871305081,5.66327106614625e-07,0.0143990891713259,6.04625606746268,0.90660239067467,0.822852612725887,-0.0837497779487829,17,71824806,R,II,C17orf54,TSS200,opensea,TSS200-opensea,,rs562976108;rs532064670,18;2
cg13377224,-0.238772133723823,0.209071037973885,-6.28579644552954,5.9861905493901e-07,0.014695292759334,5.99163425638919,0.0935361345591316,0.332308268282954,0.238772133723823,11,113981472,F,II,ZBTB16,Body,opensea,Body-opensea,,,
cg09699430,-0.199819666056178,0.204801855793717,-6.24291613813477,6.74820552308142e-07,0.0160137391404747,5.8736190773972,0.108114920605244,0.307934586661422,0.199819666056178,6,37441431,F,II,CMTR1,Body,opensea,Body-opensea,,rs548248584,37
cg26768556,-0.148732781406849,0.217706013896144,-6.20666962356191,7.46831262605604e-07,0.0166233566708572,5.77376504065818,0.145738539021862,0.294471320428711,0.14873278140685,17,48179239,R,II,PDK2,Body,opensea,Body-opensea,,rs553033142;rs573039906,25;2
cg05193970,-0.253732646200626,0.569950375339475,-6.19490140198707,7.71841636426825e-07,0.0166233566708572,5.7413267868057,0.447176514274656,0.700909160475283,0.253732646200627,3,58523649,F,II,ACOX2,TSS1500,opensea,TSS1500-opensea,,rs114810983;rs150795435;rs564922978,0;28;39
cg07740599,-0.238364040107941,0.201873234145253,-6.18868019225114,7.8540310609183e-07,0.0166233566708572,5.72417487719278,0.0865357953833459,0.324899835491287,0.238364040107941,16,524857,R,II,RAB11FIP3,1stExon,opensea,1stExon-opensea,,rs549841195,37
cg17137426,-0.225726650586948,0.648494406356067,-6.1745342203143,8.17141601927753e-07,0.0166233566708572,5.68516519997617,0.539271833491414,0.764998484078363,0.225726650586949,15,33080435,R,II,FMN1,Body,opensea,Body-opensea,,rs554570285;rs572983185;rs367576512;rs565337094,31;23;21;10
cg23109910,-0.199623903523365,0.184936435137014,-6.17448181984423,8.17261544603193e-07,0.0166233566708572,5.68502067420084,0.0883442237547403,0.287968127278106,0.199623903523365,4,88026471,F,II,AFF1,Body,opensea,Body-opensea,,rs545980193;rs564452033;rs573156111,1;11;14
cg06945813,-0.275215459322357,0.391370331788763,-6.14770314705268,8.80941447395543e-07,0.0174208862988002,5.61114003532578,0.258201561148912,0.53341702047127,0.275215459322357,17,36533578,R,II,SOCS7,Body,opensea,Body-opensea,,,
cg09270632,-0.272666310064121,0.249730961884926,-6.06892503095264,1.09883966877621e-06,0.0211425958767064,5.39354697728064,0.117795650563577,0.390461960627698,0.272666310064121,1,114337173,R,II,RSBN1,Body,opensea,Body-opensea,,rs557899221;rs577846946,42;39
cg06075558,-0.167552122429977,0.264099863407714,-6.05328209730301,1.14819587672106e-06,0.0212529599970607,5.35029732002559,0.183026255780306,0.350578378210283,0.167552122429978,3,124506079,F,II,ITGB5,Body,opensea,Body-opensea,,,
cg10344492,-0.274896939238291,0.551209366306983,-6.04130962320292,1.18747639363822e-06,0.0212529599970607,5.31718669271574,0.418194718288455,0.693091657526746,0.274896939238291,2,233867847,R,II,NGEF,5'UTR,opensea,5'UTR-opensea,,rs567582471,38
cg05211836,0.12883951029249,0.343717447102978,6.03336861312471,1.21427468392967e-06,0.0212529599970607,5.29522105614553,0.406059145631602,0.277219635339113,-0.128839510292489,19,16999576,R,I,F2RL3,TSS1500,shore,TSS1500-shore,chr19:17000627-17001398,rs79382086;rs183455208;rs560730408,40;3;1
cg26817028,0.196356578744518,0.722985437082134,6.01989948866188,1.26113017429901e-06,0.0212529599970607,5.2579564102836,0.817996684861739,0.621640106117222,-0.196356578744517,12,95083269,F,II,,IGR,opensea,IGR-opensea,,rs7966378;rs11441772;rs115533659,7;27;43
cg05880730,-0.184341181720958,0.454855143271092,-6.01671036268826,1.27248860037201e-06,0.0212529599970607,5.24913174481411,0.36565779727708,0.549998978998038,0.184341181720958,9,100882917,R,II,TRIM14,TSS1500,shore,TSS1500-shore,chr9:100881098-100881660,rs2487912,38
cg15253255,0.219480096288968,0.539948167501099,6.01359164954264,1.28369596743639e-06,0.0212529599970607,5.24050140526646,0.646148214092535,0.426668117803567,-0.219480096288968,5,175960505,R,I,RNF44,5'UTR,shelf,5'UTR-shelf,chr5:175963498-175965116,rs552341041;rs570970832;rs189974264,49;5;4
cg17695856,-0.292790614073332,0.343594974825259,-5.99252584068115,1.36204870285263e-06,0.0216538401368842,5.18219334847182,0.20192209704784,0.494712711121172,0.292790614073332,1,109855826,R,II,SORT1,3'UTR,opensea,3'UTR-opensea,,rs72646600;rs72646599;rs540182761;rs141187217,36;11;2;1
cg00205501,0.0681993057378679,0.857598638761977,5.99078316026057,1.36874244977222e-06,0.0216538401368842,5.1773687689274,0.890598302828688,0.82239899709082,-0.0681993057378678,2,45908860,R,II,PRKCE,Body,opensea,Body-opensea,,rs566672103;rs113762442;rs558771445,37;34;28
cg18928051,-0.237133335646383,0.278608166649854,-5.94657940085535,1.55007899865941e-06,0.0221393136363372,5.05494125607819,0.163866230046766,0.400999565693149,0.237133335646383,4,186635024,R,II,SORBS2,5'UTR,opensea,5'UTR-opensea,,rs115157667;rs564254598;rs532769685;rs188356392,25;13;2;1
cg26318206,-0.217199657130992,0.300805981411614,-5.93482920813757,1.60223069557044e-06,0.0221393136363372,5.02238192173022,0.195709373122424,0.412909030253416,0.217199657130992,14,105734761,R,II,BRF1,Body,shelf,Body-shelf,chr14:105738159-105738664,rs376146928,36
cg06596221,-0.20097808086844,0.209995451163008,-5.92097147439701,1.66601296291066e-06,0.0221393136363372,4.98397444879082,0.112747992678279,0.313726073546719,0.200978080868441,12,131416672,F,II,,IGR,shore,IGR-shore,chr12:131417942-131418218,rs148747515,1
cg18090331,-0.0955064348953494,0.146217953485579,-5.91711930105566,1.68419320741513e-06,0.0221393136363372,4.97329638188725,0.100005162407184,0.195511597302533,0.0955064348953495,5,132111426,F,II,SEPT8,Body,shore,Body-shore,chr5:132112448-132113621,rs568590329,34
cg12492027,-0.148514398928521,0.170578712068081,-5.91512148278939,1.69370041687704e-06,0.0221393136363372,4.96775824764378,0.0987169061349256,0.247231305063446,0.148514398928521,20,35089174,F,II,DLGAP4,TSS1500,shore,TSS1500-shore,chr20:35089448-35089998,rs568386801;rs535600296,6;22
cg12058878,-0.267206920341719,0.238473390462631,-5.90290131577266,1.75304173149045e-06,0.0221393136363372,4.93387894941561,0.109179719329542,0.376386639671261,0.267206920341719,9,116975302,R,II,COL27A1,Body,opensea,Body-opensea,,rs557788343;rs60666664;rs147559086,49;13;6
cg24310959,0.165974321133403,0.773935305229475,5.90281285675109,1.75347883666007e-06,0.0221393136363372,4.93363368071512,0.854245460616606,0.688271139483202,-0.165974321133403,20,37054880,R,II,LOC388796,Body,opensea,Body-opensea,,rs532858386;rs551370368;rs183175812,9;8;1
cg04906986,-0.185034675188674,0.232935900597643,-5.88604955339939,1.83832475459784e-06,0.0221393136363372,4.88714821941986,0.143402993248285,0.328437668436959,0.185034675188674,17,46146161,F,II,,IGR,opensea,IGR-opensea,,rs561545749,27
cg24116665,-0.261423700841697,0.325661467013997,-5.88314073816268,1.85346293084735e-06,0.0221393136363372,4.87908069894735,0.199166127897047,0.460589828738744,0.261423700841697,5,38154924,F,II,,IGR,opensea,IGR-opensea,,rs141677457,1
cg26662308,-0.24690526460711,0.291010704421758,-5.87907496258495,1.87483278174613e-06,0.0221393136363372,4.867803777513,0.171540415095737,0.418445679702847,0.24690526460711,16,13623179,R,II,,IGR,opensea,IGR-opensea,,rs184822489;rs150798322;rs187779036;rs556194911;rs192208921,40;39;26;2;1
cg19038246,-0.267721583120712,0.248530071284017,-5.87282308705254,1.90817790574893e-06,0.0221393136363372,4.85046208263385,0.118987369773995,0.386708952894707,0.267721583120712,11,123345778,R,II,,IGR,opensea,IGR-opensea,,rs540839529;rs565374147;rs532647813,47;37;29
cg17184680,-0.300018584556903,0.357737266236643,-5.86866218772233,1.9307008759933e-06,0.0221393136363372,4.83891951298804,0.212566983386529,0.512585567943432,0.300018584556903,8,22269022,R,II,SLC39A14,Body,opensea,Body-opensea,,,
cg09579928,-0.186388644256658,0.77937312654583,-5.86256729475482,1.96417665123892e-06,0.0221393136363372,4.82201064230792,0.689185072873253,0.875573717129912,0.186388644256658,8,37904681,F,II,EIF4EBP1,Body,opensea,Body-opensea,,rs150221180;rs546388288;rs188164735,9;31;44
cg09837656,0.190879391865903,0.538157346772437,5.85704046153132,1.99503734878959e-06,0.0221393136363372,4.80667640576026,0.630518342836584,0.439638950970681,-0.190879391865903,15,65149245,F,II,PLEKHO2,Body,opensea,Body-opensea,,,
cg24505713,0.0989367721290468,0.877261250521649,5.8545884991847,2.00888446843472e-06,0.0221393136363372,4.7998730220986,0.925133882196995,0.826197110067948,-0.0989367721290471,11,10770035,R,II,,IGR,shelf,IGR-shelf,chr11:10772493-10773089,,
cg21297695,0.154060320956679,0.537027484533534,5.85219055155013,2.02252012148821e-06,0.0221393136363372,4.79321927670326,0.611572801125475,0.457512480168797,-0.154060320956678,7,151456710,R,II,PRKAG2,Body,opensea,Body-opensea,,rs564058984;rs184735089,18;1
cg24100803,0.144732593642176,0.736742200661759,5.83983564682641,2.09426564193759e-06,0.0221393136363372,4.7589336600991,0.806774100811199,0.662041507169023,-0.144732593642176,11,72335943,R,II,PDE2A,Body,opensea,Body-opensea,,rs529283291;rs373721350,17;10
cg21754824,-0.219810042114692,0.369401519861182,-5.83632042811631,2.11514295325227e-06,0.0221393136363372,4.74917761288101,0.26304182206375,0.482851864178443,0.219810042114693,12,70129384,R,II,,IGR,shelf,IGR-shelf,chr12:70132340-70133559,,
cg05617027,-0.231676286208983,0.24128631821549,-5.83467562957456,2.12498342575054e-06,0.0221393136363372,4.74461251603406,0.129184889404692,0.360861175613674,0.231676286208983,4,40437086,F,II,RBM47,Body,shelf,Body-shelf,chr4:40439821-40440905,rs187551516;rs190847422,1;7
cg06594879,0.148916994428502,0.731944982399631,5.83168871652777,2.14297144751292e-06,0.0221393136363372,4.73632214600911,0.804001592606971,0.655084598178469,-0.148916994428501,8,67334122,F,II,RRS1-AS1,Body,opensea,Body-opensea,,rs540044450,20
cg00008364,-0.183976538719723,0.251131560601954,-5.81749435172819,2.2305710950124e-06,0.0221393136363372,4.69692010126667,0.16211065476983,0.346087193489553,0.183976538719723,17,28152860,F,II,SSH2,Body,opensea,Body-opensea,,rs576687737,1
cg25995289,-0.26395016860587,0.430639976340472,-5.81570110245051,2.24189144648907e-06,0.0221393136363372,4.69194169054484,0.302922152821503,0.566872321427373,0.26395016860587,19,30207352,F,II,C19orf12,TSS1500,shore,TSS1500-shore,chr19:30206040-30206497,rs116620735;rs574654706,0;35
cg20580578,-0.253669729033778,0.333389155896609,-5.81503097868388,2.24613660049247e-06,0.0221393136363372,4.69008126507241,0.2106457386222,0.464315467655978,0.253669729033778,7,75189143,F,I,HIP1,Body,island,Body-island,chr7:75189055-75189289,rs200116944;rs145177265;rs201650445;rs146883124;rs113843272,22;37;38;43;50
cg00155777,0.129924101238007,0.696131924721435,5.81363216880992,2.25502397786884e-06,0.0221393136363372,4.68619777701474,0.75899842532047,0.629074324082464,-0.129924101238006,9,89737999,R,II,,IGR,opensea,IGR-opensea,,rs115945845,47
cg06202544,-0.150995783756695,0.146493928037115,-5.81360951567986,2.25516819595976e-06,0.0221393136363372,4.68613488498099,0.0734314520258105,0.224427235782506,0.150995783756695,22,33801400,R,II,LARGE,Body,opensea,Body-opensea,,rs2267199,23
cg16709403,-0.152492096013273,0.193016324121769,-5.8010611480027,2.3364993522542e-06,0.0221393136363372,4.65129386444941,0.119229826050831,0.271721922064104,0.152492096013273,6,17470162,F,II,CAP2,Body,opensea,Body-opensea,,rs569738931;rs533803849;rs552180477;rs565702245;rs9477445;rs150310083,0;1;13;18;26;48
cg13854727,-0.163477543228265,0.553642725591937,-5.80032893762386,2.3413352368062e-06,0.0221393136363372,4.64926067709343,0.474540688546002,0.638018231774267,0.163477543228265,11,35032430,R,II,,IGR,opensea,IGR-opensea,,rs546155844,16
cg01738022,0.134812972235126,0.714485440618719,5.79766382544358,2.35902216953504e-06,0.0221393136363372,4.64186008285511,0.779717523958296,0.64490455172317,-0.134812972235126,16,4012936,R,I,ADCY9,3'UTR,shelf,3'UTR-shelf,chr16:4015001-4015232,rs535394059,34
cg04377132,-0.162113203553488,0.775982491412661,-5.79454433836469,2.37989539503659e-06,0.0221393136363372,4.6331974377504,0.69754061872549,0.859653822278978,0.162113203553488,5,1828817,F,II,,IGR,opensea,IGR-opensea,,rs185951877;rs147634228,4;34
cg07697177,-0.246478811807815,0.294127033713233,-5.79174560512996,2.39878048657862e-06,0.0221393136363372,4.62542521323918,0.174863092515903,0.421341904323718,0.246478811807815,1,2125182,R,II,C1orf86,Body,shore,Body-shore,chr1:2126048-2126642,rs138531306;rs1058411,49;12
cg12581970,-0.289902920826583,0.435307471141276,-5.77820955870761,2.49226809241464e-06,0.0221393136363372,4.58783103934404,0.295031864289703,0.584934785116286,0.289902920826583,1,220959227,R,II,MOSC1,TSS1500,shore,TSS1500-shore,chr1:220960016-220960603,,
cg24758273,-0.236239713042008,0.289482998093727,-5.77075683708599,2.54529666438625e-06,0.0221393136363372,4.5671296151637,0.175173459525013,0.411413172567021,0.236239713042008,7,101584380,R,II,CUX1,Body,opensea,Body-opensea,,rs565357491;rs189980467;rs112361485;rs541778485,48;43;34;2
cg03187809,-0.175700813172436,0.301711698763795,-5.76864621169586,2.56051966724015e-06,0.0221393136363372,4.56126658926597,0.216695176261003,0.39239598943344,0.175700813172437,6,44093776,R,II,MRPL14,5'UTR,shore,5'UTR-shore,chr6:44094708-44096134,rs1935611;rs575962185;rs537007598,36;33;20
cg18237378,-0.124785452349367,0.361544179847374,-5.76744239337397,2.56924325439548e-06,0.0221393136363372,4.55792248117743,0.301164122258971,0.425949574608338,0.124785452349367,13,113812682,R,II,PROZ,TSS1500,opensea,TSS1500-opensea,,rs3024706;rs368523295,45;2
cg07470011,0.119548573584371,0.699603166859451,5.76596595551497,2.57998323526481e-06,0.0221393136363372,4.55382099227405,0.757449250851889,0.637900677267518,-0.119548573584371,10,47033887,R,I,,IGR,opensea,IGR-opensea,,rs533413677;rs116747090;rs570128260;rs531046630;rs549286235;rs567881232,47;46;44;20;2;1
cg04676245,-0.248136113852903,0.215436448657165,-5.76153618959217,2.61247824263361e-06,0.0221393136363372,4.54151483374643,0.0953705871154379,0.343506700968341,0.248136113852903,1,44498175,F,II,SLC6A9,TSS1500,shore,TSS1500-shore,chr1:44495629-44497112,rs6667724;rs184291554;rs562194021;rs531186772,4;24;43;48
cg11057802,0.133420494118907,0.595178835463442,5.75674766785333,2.648068159817e-06,0.0221393136363372,4.52821130189157,0.659737139069364,0.526316644950458,-0.133420494118906,11,128567014,R,II,SENCR,TSS1500,shelf,TSS1500-shelf,chr11:128562671-128565011,rs115290739;rs151219674,8;2
cg07059972,-0.169845626146949,0.278020329188785,-5.75519119070482,2.65974112689669e-06,0.0221393136363372,4.52388691591838,0.195836961698326,0.365682587845275,0.16984562614695,9,139011824,R,I,C9orf69,TSS1500,shore,TSS1500-shore,chr9:139009862-139011272,rs557977421,3
cg13637910,-0.254362143589796,0.274504680316758,-5.75486989853456,2.6621571286937e-06,0.0221393136363372,4.52299425480977,0.15142622374105,0.405788367330846,0.254362143589796,9,114321717,F,II,PTGR1,Body,opensea,Body-opensea,,rs187889015;rs568015120,0;7
cg21998869,-0.237840792868656,0.625902104513415,-5.75310284260452,2.67548426270948e-06,0.0221393136363372,4.51808470063028,0.51081784989955,0.748658642768206,0.237840792868656,2,233878150,F,II,NGEF,TSS200,opensea,TSS200-opensea,,rs533189145;rs111575487;rs75193496,0;1;51
cg09978353,-0.278330450625171,0.261285579089504,-5.75120065594966,2.68990556004447e-06,0.0221393136363372,4.51279958912996,0.126609554593453,0.404940005218624,0.278330450625171,17,72759282,R,II,SLC9A3R1,Body,opensea,Body-opensea,,rs553918722;rs545641317,36;1
cg03451247,-0.114575304353007,0.562702389995166,-5.74914695766077,2.70556331670859e-06,0.0221393136363372,4.50709338107655,0.50726272659855,0.621838030951557,0.114575304353007,22,24039883,F,II,RGL4,Body,opensea,Body-opensea,,,
cg19174059,-0.176579933435541,0.717867643755334,-5.74173793785398,2.76281677271299e-06,0.0221624092391516,4.48650627711148,0.632425740480072,0.809005673915614,0.176579933435542,11,124972104,R,II,TMEM218,Body,opensea,Body-opensea,,rs376719612,2
cg01083057,-0.288696485065125,0.606138398591758,-5.74073660834542,2.77064748582967e-06,0.0221624092391516,4.48372379583689,0.4664465509796,0.755143036044725,0.288696485065125,21,45545868,F,II,PWP2,Body,opensea,Body-opensea,,rs376172035;rs575427168;rs148373138;rs141599101;rs561493853,0;1;35;37;38
cg20073327,-0.203927864325661,0.168759681540159,-5.72543043116435,2.89316308975599e-06,0.0226801825857986,4.44118733603671,0.0700849084793557,0.274012772805017,0.203927864325661,19,34842652,F,II,KIAA0355,Body,opensea,Body-opensea,,rs564595668;rs111590801,16;19
cg26378616,-0.229134721151659,0.340200580164304,-5.72293236550789,2.91366931911227e-06,0.0226801825857986,4.43424443918764,0.229328940897372,0.458463662049032,0.22913472115166,10,12598396,R,II,CAMK1D,Body,opensea,Body-opensea,,rs2768344;rs573083693,20;4
cg07159778,-0.206795079488147,0.198956393550124,-5.72084071081199,2.93095175926973e-06,0.0226801825857986,4.42843094088245,0.0988942583139241,0.305689337802071,0.206795079488147,10,29162739,F,II,C10orf126,Body,opensea,Body-opensea,,rs114745294;rs566953378,1;51
cg12793324,-0.227613667725545,0.417909474582729,-5.70241437777896,3.08772432381294e-06,0.0232334514287718,4.37721168507009,0.307773828909078,0.535387496634624,0.227613667725546,14,70073190,F,II,,IGR,opensea,IGR-opensea,,rs560944378;rs58849540;rs183789548,16;29;46
cg08204162,-0.132504308826587,0.161915678740287,-5.70189181850637,3.09229116545305e-06,0.0232334514287718,4.37575899742313,0.0978006905983903,0.230304999424977,0.132504308826587,8,22785567,F,II,PEBP4,TSS200,opensea,TSS200-opensea,,rs545404540;rs375123352;rs575803280;rs2466226;rs2457425;rs34096784,0;18;22;35;36;36
cg03898598,0.236683917506585,0.550518406572214,5.6974884601269,3.13104445608307e-06,0.0232334514287718,4.36351758663325,0.665042882785078,0.428358965278493,-0.236683917506585,20,60663730,F,II,,IGR,opensea,IGR-opensea,,rs546658053;rs35030634,1;41
cg12683946,-0.148171456227411,0.21216223128818,-5.69715957239522,3.13395846730973e-06,0.0232334514287718,4.36260325154039,0.140466365371691,0.288637821599102,0.148171456227411,3,45521859,R,II,LARS2,Body,opensea,Body-opensea,,rs563083643,51
cg19271640,-0.18824181533717,0.328375706302409,-5.69336438052167,3.16778252732085e-06,0.0232334514287718,4.35205208857821,0.237290956945714,0.425532772282884,0.18824181533717,19,574881,F,II,BSG,5'UTR,shore,5'UTR-shore,chr19:572278-573134,rs117933091;rs138039913;rs12609912,1;12;46
cg23988892,-0.153089246410929,0.116059233146152,-5.68997317177008,3.19831650011996e-06,0.0232334514287718,4.34262372179359,0.0419837913344119,0.195073037745341,0.153089246410929,19,30207329,F,II,C19orf12,TSS1500,shore,TSS1500-shore,chr19:30206040-30206497,rs116620735,23
cg04152478,0.234036033480345,0.372315504756853,5.68639028282166,3.23089781088986e-06,0.0232334514287718,4.33266210056655,0.485558746763472,0.251522713283126,-0.234036033480346,8,125685873,R,II,MTSS1,Body,opensea,Body-opensea,,rs190453101,9
